"NAME","NATIONALITY"
"quintus sertorius","List_of_Italians"
"marcus vipsanius agrippa","List_of_Italians"
"pope adrian i","List_of_Italians"
"pope agapetus i","List_of_Italians"
"pope alexander iii","List_of_Italians"
"ambrose","List_of_Italians"
"augustine of canterbury","List_of_Italians"
"benedict of nursia","List_of_Italians"
"pope benedict v","List_of_Italians"
"pope boniface viii","List_of_Italians"
"pope celestine i","List_of_Italians"
"pope celestine v","List_of_Italians"
"peter damian","List_of_Italians"
"pope gregory i","List_of_Italians"
"pope gregory ii","List_of_Italians"
"pope gregory vii","List_of_Italians"
"john gualbert","List_of_Italians"
"pope honorius i","List_of_Italians"
"pope honorius iii","List_of_Italians"
"pope innocent iii","List_of_Italians"
"pope john ii","List_of_Italians"
"pope john viii","List_of_Italians"
"pope john xix","List_of_Italians"
"pope leo i","List_of_Italians"
"pope leo iii","List_of_Italians"
"pope liberius","List_of_Italians"
"matilda of tuscany","List_of_Italians"
"pope nicholas i","List_of_Italians"
"paulinus of nola","List_of_Italians"
"romuald","List_of_Italians"
"pope sergius i","List_of_Italians"
"pope stephen ii","List_of_Italians"
"pope sylvester i","List_of_Italians"
"pope symmachus","List_of_Italians"
"rainerius saccho","List_of_Italians"
"alessandro de' medici, Duke of Florence"
"catherine de' medici","List_of_Italians"
"cosimo de' medici","List_of_Italians"
"cosimo i de' medici, Grand Duke of Tuscany"
"ferdinando i de' medici, Grand Duke of Tuscany"
"francesco i de' medici, Grand Duke of Tuscany"
"giovanni di bicci de' medici","List_of_Italians"
"lorenzo de' medici","List_of_Italians"
"marie de' medici","List_of_Italians"
"salvestro de' medici","List_of_Italians"
"pope clement vii","List_of_Italians"
"pope leo x","List_of_Italians"
"pope leo xi","List_of_Italians"
"cesare borgia","List_of_Italians"
"bartolomeo colleoni","List_of_Italians"
"andrea doria","List_of_Italians"
"erasmo of narni","List_of_Italians"
"frederick ii, Holy Roman Emperor"
"federico da montefeltro","List_of_Italians"
"giovanni dalle bande nere","List_of_Italians"
"sigismondo pandolfo malatesta","List_of_Italians"
"niccolò piccinino","List_of_Italians"
"francesco i sforza","List_of_Italians"
"muzio sforza","List_of_Italians"
"gian giacomo trivulzio","List_of_Italians"
"charles emmanuel i, Duke of Savoy"
"michelangelo alessandro collimarchi","List_of_Italians"
"achille fontanelli","List_of_Italians"
"franziska scanagatta","List_of_Italians"
"torquato conti","List_of_Italians"
"eugene of savoy","List_of_Italians"
"alexander farnese, Duke of Parma"
"pasquale paoli","List_of_Italians"
"pietro micca","List_of_Italians"
"raimondo montecuccoli","List_of_Italians"
"napoleon","List_of_Italians"
"ottavio piccolomini","List_of_Italians"
"ambrogio spinola, 1st Marquis of the Balbases"
"victor amadeus ii of sardinia","List_of_Italians"
"pietro badoglio","List_of_Italians"
"italo balbo","List_of_Italians"
"cesare battisti","List_of_Italians"
"camillo benso, conte di Cavour"
"francesco crispi","List_of_Italians"
"salvo d'acquisto","List_of_Italians"
"armando diaz","List_of_Italians"
"giulio douhet","List_of_Italians"
"giuseppe garibaldi","List_of_Italians"
"maurizio giglio","List_of_Italians"
"giovanni giolitti","List_of_Italians"
"antonio gramsci","List_of_Italians"
"giacomo matteotti","List_of_Italians"
"giuseppe mazzini","List_of_Italians"
"benito mussolini","List_of_Italians"
"carlo rosselli","List_of_Italians"
"piero torrigiani","List_of_Italians"
"enrico toti","List_of_Italians"
"victor emmanuel ii of italy","List_of_Italians"
"victor emmanuel iii of italy","List_of_Italians"
"giulio andreotti","List_of_Italians"
"enrico berlinguer","List_of_Italians"
"silvio berlusconi","List_of_Italians"
"umberto bossi","List_of_Italians"
"bettino craxi","List_of_Italians"
"alcide de gasperi","List_of_Italians"
"enrico de nicola","List_of_Italians"
"antonio di pietro","List_of_Italians"
"luigi einaudi","List_of_Italians"
"nilde iotti","List_of_Italians"
"aldo moro","List_of_Italians"
"romano prodi","List_of_Italians"
"antonio segni","List_of_Italians"
"luigi sturzo","List_of_Italians"
"palmiro togliatti","List_of_Italians"
"altiero spinelli","List_of_Italians"
"johannes ciconia","List_of_Italians"
"gherardello da firenze","List_of_Italians"
"guido of arezzo","List_of_Italians"
"jacopo da bologna","List_of_Italians"
"francesco landini","List_of_Italians"
"marchetto da padova","List_of_Italians"
"giovanni animuccia","List_of_Italians"
"adriano banchieri","List_of_Italians"
"giulio caccini","List_of_Italians"
"francesco canova da milano","List_of_Italians"
"emilio de' cavalieri","List_of_Italians"
"andrea gabrieli","List_of_Italians"
"giovanni gabrieli","List_of_Italians"
"carlo gesualdo","List_of_Italians"
"giovanni pierluigi da palestrina","List_of_Italians"
"luzzasco luzzaschi","List_of_Italians"
"luca marenzio","List_of_Italians"
"claudio merulo","List_of_Italians"
"claudio monteverdi","List_of_Italians"
"jacopo peri","List_of_Italians"
"gioseffo zarlino","List_of_Italians"
"tomaso albinoni","List_of_Italians"
"gregorio allegri","List_of_Italians"
"francesca caccini","List_of_Italians"
